s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0;-0.2725812;0.6176912;-1.1529248;-0.0020961;13.021179;-5.2803617
0.0999851;-0.1811952;0.658257;-1.1531396;-0.0022019;12.9805697;-5.2608902
0.1999701;-0.0897999;0.6988028;-1.1533651;-0.0023078;12.9399833;-5.2416639
0.2999552;0.0016044;0.7393273;-1.1536011;-0.0024135;12.8994183;-5.2226645
0.3999403;0.0930187;0.7798299;-1.1538477;-0.0025192;12.858873;-5.203885
0.4999254;0.184443;0.8203094;-1.1541049;-0.002625;12.818346;-5.18533
0.5999104;0.2758782;0.8607649;-1.1543726;-0.0027307;12.7778356;-5.1669983
0.6998955;0.3673241;0.9011954;-1.1546509;-0.0028365;12.7373402;-5.1488887
0.7998806;0.4587818;0.9416001;-1.1549398;-0.0029423;12.6968584;-5.1309979
0.8998657;0.5502511;0.9819778;-1.1552393;-0.003048;12.6563883;-5.1133269
0.9998507;0.6417329;1.0223277;-1.1555494;-0.0031538;12.6159286;-5.0958722
1.0998358;0.7332272;1.0626486;-1.15587;-0.0032596;12.5754774;-5.0786351
1.1998209;0.824735;1.1029398;-1.1562012;-0.0033654;12.5350331;-5.0616117
1.299806;0.9162559;1.1432001;-1.156543;-0.0034712;12.4945942;-5.0448037
1.399791;1.0077912;1.1834288;-1.1568953;-0.003577;12.4541589;-5.0282068
1.4997761;1.0993405;1.2236246;-1.1572582;-0.0036828;12.4137256;-5.0118231
1.5997612;1.1909049;1.2637868;-1.1576318;-0.0037886;12.3732925;-4.9956479
1.6997463;1.2824843;1.3039142;-1.1580159;-0.0038944;12.332858;-4.9796839
1.7997313;1.3740795;1.3440061;-1.1584105;-0.0040003;12.2924204;-4.9639266
1.8997164;1.4656905;1.3840612;-1.1588158;-0.0041061;12.2519779;-4.9483785
1.9997015;1.5573182;1.4240788;-1.1592316;-0.004212;12.2115287;-4.9330331
2.0996866;1.6489625;1.4640577;-1.1596581;-0.0043179;12.1710712;-4.917895
2.1996716;1.7406243;1.5039971;-1.1600951;-0.0044238;12.1306036;-4.9029624
2.2996567;1.8323035;1.5438959;-1.1605427;-0.0045297;12.0901239;-4.8882353
2.3996418;1.924001;1.5837533;-1.1610009;-0.0046356;12.0496305;-4.8736967
2.4996269;2.0157167;1.623568;-1.1614697;-0.0047416;12.0091216;-4.8593621
2.5996119;2.1074516;1.6633394;-1.1619491;-0.0048476;11.9685953;-4.8452525
2.699597;2.1992054;1.7030662;-1.1624391;-0.0049535;11.9280496;-4.8313444
2.7995821;2.2909792;1.7427477;-1.1629396;-0.0050593;11.8874826;-4.8152455
2.8995672;2.3827728;1.7823826;-1.1634516;-0.0051822;11.8469126;-4.7993763
2.9995522;2.4745871;1.82197;-1.1639759;-0.0053051;11.8063375;-4.7837229
3.0995373;2.5664222;1.8615086;-1.1645125;-0.0054282;11.7657556;-4.7682998
3.1995224;2.658279;1.9009975;-1.1650614;-0.0055512;11.7251647;-4.7531098
3.2995075;2.7501575;1.9404353;-1.1656226;-0.0056742;11.6845628;-4.7381477
3.3994925;2.8420585;1.979821;-1.166196;-0.0057972;11.6439477;-4.7234143
3.4994776;2.9339821;2.0191534;-1.1667818;-0.0059201;11.6033175;-4.7089067
3.5994627;3.0259293;2.0584315;-1.1673799;-0.0060431;11.5626699;-4.6946251
3.6994478;3.1178999;2.0976539;-1.1679903;-0.0061661;11.5220029;-4.6805674
3.7994328;3.2098949;2.1368197;-1.1686129;-0.0062891;11.4813143;-4.6667338
3.8994179;3.3019143;2.1759275;-1.1692479;-0.006412;11.4406018;-4.6531221
3.999403;3.3939589;2.2149764;-1.1698951;-0.006535;11.3998633;-4.6397314
4.0993881;3.4860289;2.2539651;-1.1705547;-0.006658;11.3590966;-4.626561
4.1993731;3.578125;2.2928926;-1.1712265;-0.006781;11.3182995;-4.6136117
4.2993582;3.6702472;2.3317575;-1.1719107;-0.0069039;11.2774695;-4.6008809
4.3993433;3.7623965;2.370559;-1.1726071;-0.0070269;11.2366044;-4.5838907
4.4993283;3.8545727;2.4092955;-1.1733176;-0.0071856;11.1957419;-4.567176
4.5993134;3.9467771;2.4479659;-1.174044;-0.0073442;11.1548796;-4.5355344
4.6992985;4.0390094;2.4865681;-1.1747924;-0.0076259;11.1141517;-4.5043548
4.7992836;4.1312719;2.5251004;-1.175569;-0.0079078;11.0735555;-4.4725766
4.8992686;4.2235638;2.5635593;-1.1763742;-0.0081986;11.0330979;-4.4412882
4.9992537;4.3158884;2.601943;-1.1772084;-0.0084894;10.992776;-4.391174
5.0992388;4.4082446;2.6402476;-1.1780798;-0.0089409;10.9527631;-4.3417336
5.1992239;4.500636;2.6784701;-1.1789964;-0.0093931;10.9130565;-4.2879811
5.2992089;4.5930623;2.7166053;-1.1799603;-0.0098878;10.8736992;-4.2349926
5.399194;4.6855271;2.7546495;-1.1809736;-0.0103826;10.8346879;-4.1858149
5.4991791;4.7780305;2.7925973;-1.1820352;-0.0108513;10.7959911;-4.137364
5.5991642;4.8705759;2.8304452;-1.1831436;-0.01132;10.7576055;-4.0928014
5.6991492;4.9631632;2.8681879;-1.1842974;-0.0117609;10.719498;-4.0489019
5.7991343;5.0557957;2.9058221;-1.1854954;-0.0122016;10.6816655;-4.0058149
5.8991194;5.1484731;2.9433429;-1.1867373;-0.0126409;10.6441033;-3.9633536
5.9991045;5.2411988;2.9807469;-1.1880232;-0.0130801;10.6068083;-3.9214772
6.0990895;5.3339724;3.0180292;-1.189353;-0.0135196;10.5697778;-3.8802056
6.1990746;5.4267972;3.0551865;-1.1907267;-0.0139591;10.533009;-3.8395416
6.2990597;5.519673;3.0922138;-1.1921444;-0.0143986;10.4964987;-3.7994628
6.3990448;5.6126027;3.1291077;-1.193606;-0.014838;10.4602441;-3.7599614
6.4990298;5.7055863;3.1658634;-1.1951115;-0.0152774;10.4242422;-3.721026
6.5990149;5.7986268;3.2024773;-1.196661;-0.0157169;10.3884903;-3.6826524
6.699;5.8917238;3.2389447;-1.1982544;-0.0161563;10.3529856;-3.6448263
6.7989851;5.9848804;3.2752619;-1.1998918;-0.0165958;10.3177253;-3.6075435
6.8989701;6.0780964;3.3114242;-1.2015731;-0.0170353;10.2827065;-3.5707905
6.9989552;6.1713746;3.3474279;-1.2032984;-0.0174748;10.2479267;-3.5345637
7.0989403;6.2647148;3.3832684;-1.2050675;-0.0179143;10.2133831;-3.4988495
7.1989254;6.3581199;3.4189418;-1.2068807;-0.0183538;10.1790731;-3.4636451
7.2989104;6.4515894;3.4544436;-1.2087377;-0.0187934;10.144994;-3.4289367
7.3988955;6.5451263;3.4897699;-1.2106388;-0.019233;10.1111433;-3.3947218
7.4988806;6.6387302;3.524916;-1.2125838;-0.0196726;10.0775183;-3.3609869
7.5988657;6.7324037;3.5598782;-1.2145727;-0.0201123;10.0441166;-3.3277301
7.6988507;6.8261467;3.5946516;-1.2166056;-0.020552;10.0109356;-3.2949378
7.7988358;6.9199616;3.6292327;-1.2186825;-0.0209918;9.9779729;-3.2626087
7.8988209;7.0138482;3.6636165;-1.2208034;-0.0214316;9.9452259;-3.2307289
7.998806;7.1078089;3.6977992;-1.2229682;-0.0218716;9.9126923;-3.199298
8.098791;7.2018436;3.7317762;-1.225177;-0.0223115;9.8803697;-3.1683018
8.1987761;7.2959544;3.7655436;-1.2274299;-0.0227516;9.8482556;-3.1377402
