s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0,-0.5186965,0.6512563,0.4201389,-0.0025697,8.0,0.0
0.0999579,-0.42742125,0.69200335,0.41986789999999996,-0.0027114,8.0,0.0
0.1999158,-0.336146,0.7327504,0.4195969,-0.0028531,8.0,0.0
0.29987375,-0.24484695,0.7734457,0.41929755,-0.0029947999999999997,8.0,0.0
0.3998317,-0.1535479,0.814141,0.4189982,-0.0031365,8.0,0.0
0.4997896,-0.062223549999999996,0.8547789,0.4186705,-0.00327825,8.0,0.0
0.5997475,0.0291008,0.8954168,0.4183428,-0.00342,8.0,0.0
0.69970545,0.12045285,0.93599225,0.4179868,-0.00356175,8.0,0.0
0.7996634,0.2118049,0.9765677,0.4176308,-0.0037035,8.0,0.0
0.8996213,0.30318744999999997,1.0170757,0.4172464,-0.0038453000000000003,8.0,0.0
0.9995792,0.39457,1.0575837,0.416862,-0.0039871,8.0,0.0
1.0995371,0.48598405,1.09801855,0.4164493,-0.004129000000000001,8.0,0.0
1.199495,0.5773981,1.1384534,0.4160366,-0.0042709,8.0,0.0
1.29945295,0.66884715,1.17881035,0.4155955,-0.0044128,8.0,0.0
1.3994109,0.7602962,1.2191673,0.4151544,-0.0045547,8.0,0.0
1.4993688,0.8517817999999999,1.2594409500000001,0.4146849,-0.00469665,8.0,0.0
1.5993267,0.9432674,1.2997146,0.4142154,-0.0048386,8.0,0.0
1.69928465,1.03479185,1.33989965,0.41371755,-0.00498065,8.0,0.0
1.7992426,1.1263163,1.3800847,0.4132197,-0.0051227,8.0,0.0
1.8992005,1.2178822999999999,1.42017625,0.41269345,-0.005264700000000001,8.0,0.0
1.9991584,1.3094483,1.4602678,0.4121672,-0.0054067,8.0,0.0
2.0991163,1.4010569,1.50026,0.41161254999999997,-0.0055487999999999996,8.0,0.0
2.1990742,1.4926655,1.5402522,0.4110579,-0.0056909,8.0,0.0
2.29903215,1.58431995,1.5801404,0.41047484999999995,-0.005833049999999999,8.0,0.0
2.3989901,1.6759744,1.6200286,0.4098918,-0.0059752,8.0,0.0
2.498948,1.76767635,1.6598072,0.40928034999999996,-0.0061173500000000006,8.0,0.0
